날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,4,0,4,0.57,0.57,10057495.00,6055540.00
20170103,0,3,1,-0.40,0.17,10017176.00,9066651.00
20170104,0,1,0,-0.03,0.14,10014034.00,10014034.00
20170105,2,0,2,0.36,0.50,10049984.00,8043084.00
20170106,3,2,3,1.06,1.56,10156494.00,7098411.00
20170109,4,3,4,-0.08,1.48,10148265.00,6135615.00
20170110,0,4,0,0.19,1.68,10168010.00,10168010.00
20170111,0,0,0,0.00,1.68,10168010.00,10168010.00
20170112,4,0,4,0.10,1.79,10178685.00,6154330.00
20170113,5,4,5,0.57,2.36,10236223.00,5203825.00
20170116,2,4,3,0.03,2.40,10239522.00,7253106.00
20170117,1,3,1,0.45,2.86,10285633.00,9288868.00
20170118,2,0,3,-0.46,2.38,10237853.00,7264878.00
20170119,3,2,4,0.43,2.81,10281499.00,6233249.00
20170120,6,4,7,0.46,3.29,10328749.00,4096723.00
20170123,1,6,2,0.99,4.31,10431129.00,8503314.00
20170124,4,2,4,-0.01,4.30,10430438.00,6304445.00
20170125,3,4,3,-1.46,2.78,10278450.00,7352024.00
20170126,3,0,6,-0.50,2.27,10227116.00,4401612.00
20170131,2,5,3,0.48,2.76,10275733.00,7262885.00
20170201,2,3,2,0.63,3.40,10340013.00,8305913.00
20170202,1,2,1,-0.15,3.25,10324510.00,9351610.00
20170203,3,0,4,-0.37,2.86,10285918.00,6297557.00
20170206,1,4,1,0.11,2.97,10296962.00,9300293.00
20170207,2,1,2,-0.12,2.85,10284849.00,8276584.00
20170208,5,1,6,0.50,3.36,10335878.00,4217498.00
20170209,2,2,6,-1.23,2.09,10208606.00,4269536.00
20170210,1,6,1,0.61,2.71,10270575.00,9265180.00
20170213,1,1,1,0.44,3.15,10315397.00,9283877.00
20170214,0,1,0,-0.08,3.07,10307213.00,10307213.00
20170215,1,0,1,0.37,3.45,10345193.00,9288083.00
20170216,6,1,6,0.76,4.24,10424215.00,4272344.00
20170217,2,5,3,-0.23,4.00,10400144.00,7400034.00
20170220,2,3,2,-0.05,3.95,10394567.00,8381072.00
20170221,6,2,6,0.17,4.12,10412347.00,4287922.00
20170222,2,6,2,1.47,5.66,10565573.00,8458843.00
20170223,5,2,5,-1.90,3.64,10364317.00,5360727.00
20170224,0,3,2,-0.37,3.26,10325727.00,8349767.00
20170227,0,0,2,-2.18,1.00,10100247.00,8349767.00
20170228,0,2,0,0.01,1.01,10101141.00,10101141.00
20170302,2,0,2,-0.04,0.97,10097491.00,8104791.00
20170303,1,2,1,-0.09,0.89,10088708.00,9107553.00
20170306,1,1,1,0.25,1.14,10114330.00,9094630.00
20170307,2,1,2,-0.14,1.00,10100010.00,8136450.00
20170308,0,1,1,0.19,1.20,10119509.00,9153089.00
20170309,2,0,3,-0.21,0.99,10098739.00,7167294.00
20170310,5,3,5,3.09,4.11,10411164.00,5196973.00
20170313,0,5,0,-0.97,3.10,10310120.00,10310120.00
20170314,3,0,3,-0.36,2.73,10272805.00,7262515.00
20170315,2,2,3,0.20,2.94,10293829.00,7288269.00
20170316,1,3,1,0.18,3.13,10312858.00,9311338.00
20170317,0,1,0,0.01,3.14,10314352.00,10314352.00
20170320,3,0,3,-1.32,1.78,10177962.00,7254882.00
20170321,2,1,4,-0.20,1.57,10157109.00,6267651.00
20170322,1,4,1,0.91,2.49,10249209.00,9250209.00
20170323,5,1,5,-1.12,1.35,10134652.00,5197780.00
20170324,2,3,4,0.58,1.93,10193098.00,6272072.00
20170327,2,4,2,1.32,3.27,10327388.00,8221223.00
20170328,0,2,0,0.09,3.37,10336856.00,10336856.00
20170329,0,0,0,0.00,3.37,10336856.00,10336856.00
20170330,1,0,1,-0.12,3.24,10324466.00,9317336.00
20170331,3,1,3,0.98,4.25,10425149.00,7291969.00
20170403,0,2,1,-0.69,3.54,10353645.00,9396015.00
20170404,0,0,1,-2.46,0.99,10098825.00,9396015.00
20170405,3,1,3,1.29,2.30,10229559.00,7117815.00
20170406,0,3,0,-0.35,1.94,10193504.00,10193504.00
20170407,4,0,4,2.20,4.18,10417922.00,6174581.00
20170410,2,3,3,-0.82,3.33,10332862.00,7356191.00
20170411,4,3,4,-0.65,2.66,10265616.00,6299769.00
20170412,2,2,4,-1.54,1.07,10107365.00,6302142.00
20170413,3,3,4,-1.74,-0.68,9931517.00,6139787.00
20170414,4,2,6,-1.32,-1.99,9800534.00,4187386.00
20170417,3,6,3,1.50,-0.53,9947468.00,6998718.00
20170418,0,3,0,0.16,-0.37,9963160.00,9963160.00
20170419,2,0,2,0.68,0.31,10030800.00,7997230.00
20170420,2,2,2,-0.51,-0.20,9979724.00,8075127.00
20170421,2,1,3,-0.35,-0.55,9944900.00,7108790.00
20170424,1,2,2,-0.48,-1.03,9896785.00,7995330.00
20170425,0,2,0,0.25,-0.78,9922019.00,9922019.00
20170426,2,0,2,-0.04,-0.82,9917689.00,7972903.00
20170427,5,1,6,-1.33,-2.14,9785994.00,4079624.00
20170428,2,6,2,0.84,-1.32,9868367.00,7956657.00
20170502,1,2,1,0.10,-1.21,9878646.00,8909076.00
20170504,1,1,1,0.69,-0.53,9946530.00,8954770.00
20170508,1,1,1,0.02,-0.51,9948529.00,9005654.00
20170510,1,0,2,0.28,-0.23,9976554.00,8022774.00
20170511,3,1,4,-1.71,-1.94,9805716.00,6087035.00
20170512,1,2,3,-1.07,-2.99,9700557.00,6889803.00
20170515,2,0,5,-0.03,-3.02,9697785.00,5004503.00
20170516,1,5,1,0.01,-3.01,9698551.00,8714161.00
20170517,4,1,4,-0.25,-3.25,9674722.00,5869902.00
20170518,3,1,6,-0.88,-4.11,9589291.00,4010211.00
20170519,1,4,3,2.93,-1.30,9870024.00,6770114.00
20170522,3,2,4,0.58,-0.73,9927216.00,6076326.00
20170523,0,4,0,-0.19,-0.92,9908048.00,9908048.00
20170524,3,0,3,0.06,-0.86,9913648.00,6972648.00
20170525,4,3,4,0.51,-0.36,9963779.00,6043779.00
20170526,3,2,5,0.14,-0.22,9978166.00,5112426.00
20170529,2,4,3,-0.25,-0.46,9953710.00,7092725.00
20170530,1,2,2,1.33,0.86,10086012.00,8082612.00
20170531,1,2,1,0.14,1.00,10099660.00,9081085.00
20170601,5,1,5,-0.69,0.30,10030139.00,5138293.00
20170602,3,4,4,1.06,1.36,10136097.00,6299570.00
20170605,2,2,4,-0.54,0.81,10081162.00,6207417.00
20170607,2,4,2,0.14,0.95,10095085.00,8142275.00
20170608,0,1,1,0.32,1.28,10127504.00,9161804.00
20170609,1,1,1,-0.22,1.05,10105001.00,9128001.00
20170612,1,1,1,0.48,1.53,10153111.00,9115186.00
20170613,1,1,1,-0.36,1.17,10116962.00,9131162.00
20170614,1,1,1,0.78,1.96,10195956.00,9135956.00
20170615,4,1,4,0.00,1.96,10196408.00,6182943.00
20170616,6,2,8,-0.37,1.59,10158972.00,2205512.00
20170619,0,8,0,0.69,2.29,10229393.00,10229393.00
20170620,3,0,3,-1.34,0.92,10092098.00,7204258.00
20170621,5,3,5,1.15,2.08,10208246.00,5202405.00
20170622,4,4,5,-0.53,1.54,10153945.00,5229417.00
20170623,1,4,3,0.77,2.33,10232509.00,7473294.00
20170626,1,3,1,0.74,3.09,10308525.00,9258775.00
20170627,0,1,0,-0.13,2.96,10295598.00,10295598.00
20170628,2,0,2,0.90,3.88,10387983.00,8264322.00
20170629,2,2,2,-0.06,3.81,10381272.00,8330272.00
20170630,4,2,4,0.84,4.69,10468937.00,6310667.00
20170703,2,4,2,0.10,4.80,10479896.00,8404896.00
20170704,5,2,5,0.41,5.23,10522810.00,5346513.00
20170705,3,5,3,0.40,5.64,10564387.00,7459078.00
20170706,1,2,2,0.00,5.64,10563990.00,8541790.00
20170707,4,2,4,-0.05,5.59,10559133.00,6399563.00
20170710,1,4,1,-0.54,5.02,10501821.00,9543581.00
20170711,0,0,1,-0.06,4.95,10495461.00,9543581.00
20170712,0,1,0,0.11,5.07,10507100.00,10507100.00
20170713,2,0,2,0.09,5.17,10517000.00,8433500.00
20170714,1,2,1,-0.22,4.94,10493613.00,9469745.00
20170717,0,1,0,0.20,5.15,10514567.00,10514567.00
20170718,1,0,1,-0.44,4.68,10468497.00,9475282.00
20170719,1,1,1,0.43,5.13,10513356.00,9463628.00
20170720,2,1,2,0.14,5.28,10528442.00,8438287.00
20170721,1,1,2,-0.40,4.86,10486266.00,8481691.00
20170724,1,2,1,0.13,5.00,10500311.00,9481601.00
20170725,1,0,2,-0.06,4.94,10494251.00,8457941.00
20170726,6,2,6,1.60,6.62,10662420.00,4300424.00
20170727,4,6,4,-0.98,5.58,10557833.00,6490503.00
20170728,3,2,5,-0.36,5.20,10520141.00,5443791.00
20170731,5,4,6,1.02,6.28,10627717.00,4390157.00
20170801,2,6,2,0.86,7.20,10719594.00,8617584.00
20170802,1,2,1,0.68,7.93,10792890.00,9703240.00
20170803,4,1,4,-0.10,7.82,10781939.00,6564924.00
20170804,0,3,1,-0.56,7.22,10721886.00,9737630.00
20170807,1,0,2,-0.78,6.38,10638430.00,8681020.00
20170808,2,2,2,0.92,7.36,10736285.00,8593307.00
20170809,1,2,1,-0.04,7.32,10731519.00,9701352.00
20170810,3,0,4,0.31,7.65,10764928.00,6536012.00
20170811,2,2,4,-1.19,6.37,10636802.00,6567468.00
20170814,2,4,2,0.57,6.97,10697309.00,8573374.00
20170816,0,2,0,0.06,7.04,10703727.00,10703727.00
20170817,0,0,0,0.00,7.04,10703727.00,10703727.00
20170818,0,0,0,0.00,7.04,10703727.00,10703727.00
20170821,1,0,1,0.15,7.19,10719447.00,9664695.00
20170822,1,1,1,-0.17,7.01,10701302.00,9663302.00
20170823,1,1,1,0.23,7.26,10726195.00,9664247.00
20170824,1,1,1,0.23,7.51,10750736.00,9670586.00
20170825,4,1,4,-0.17,7.33,10732641.00,6509805.00
20170828,2,2,4,0.46,7.82,10782008.00,6579128.00
20170829,3,4,3,0.80,8.69,10868501.00,7644535.00
20170830,0,3,0,0.67,9.42,10941849.00,10941849.00
20170831,2,0,2,0.08,9.50,10950351.00,8815682.00
20170901,1,2,1,-0.16,9.32,10932395.00,9866057.00
20170904,3,1,3,3.24,12.86,11286247.00,8028663.00
20170905,0,3,0,0.46,13.38,11338325.00,11338325.00
20170906,3,0,3,-0.52,12.80,11279893.00,7999429.00
20170907,2,3,2,0.66,13.55,11354705.00,9105055.00
20170908,6,2,6,0.77,14.42,11442235.00,4659687.00
20170911,2,4,4,-0.16,14.24,11424302.00,7017157.00
20170912,2,3,3,0.57,14.90,11489736.00,8128469.00
20170913,6,2,7,-1.64,13.01,11301099.00,3583591.00
20170914,3,7,3,3.68,17.17,11716622.00,8320960.00
20170915,1,3,1,0.54,17.80,11780238.00,10573718.00
20170918,1,1,1,-0.28,17.47,11746860.00,10589330.00
20170919,2,1,2,1.09,18.75,11874946.00,9446376.00
20170920,3,1,4,-1.05,17.50,11749996.00,7217001.00
20170921,4,1,7,-0.01,17.49,11748936.00,3800546.00
20170922,3,6,4,-2.29,14.80,11479683.00,7204083.00
20170925,6,2,8,0.19,15.01,11501034.00,2384744.00
20170926,2,8,2,0.58,15.68,11568085.00,9224085.00
20170927,1,1,2,0.63,16.41,11641034.00,9348264.00
20170928,2,2,2,0.13,16.56,11656130.00,9378050.00
20170929,2,2,2,-0.31,16.20,11620362.00,9488410.00
20171010,1,1,2,0.32,16.57,11657412.00,9436412.00
20171011,2,2,2,1.07,17.82,11781574.00,9377212.00
20171012,0,2,0,0.26,18.12,11812130.00,11812130.00
20171013,0,0,0,0.00,18.12,11812130.00,11812130.00
20171016,1,0,1,-0.47,17.57,11757174.00,10643066.00
20171017,1,1,1,0.59,18.27,11826931.00,10619956.00
20171018,1,1,1,-0.09,18.16,11815981.00,10658134.00
20171019,2,0,3,-0.06,18.08,11808419.00,8330454.00
20171020,5,2,6,0.97,19.23,11923485.00,4951517.00
20171023,2,6,2,0.49,19.82,11981624.00,9848624.00
20171024,5,2,5,1.14,21.18,12118492.00,6161312.00
20171025,2,4,3,1.06,22.47,12246979.00,8630015.00
20171026,1,3,1,0.12,22.62,12262278.00,11054628.00
20171027,3,1,3,0.63,23.40,12340112.00,8767765.00
20171030,3,3,3,1.05,24.69,12469297.00,8685024.00
20171031,2,2,3,0.77,25.66,12565630.00,8804306.00
20171101,2,3,2,0.29,26.03,12602677.00,10134427.00
20171102,5,1,6,0.40,26.53,12653171.00,5157991.00
20171103,3,6,3,1.34,28.23,12822854.00,8930599.00
20171106,0,3,0,0.22,28.51,12850754.00,12850754.00
20171107,2,0,2,-0.11,28.36,12836358.00,10440770.00
20171108,1,2,1,0.91,29.53,12953024.00,11596924.00
20171109,0,1,0,-0.09,29.41,12941487.00,12941487.00
20171110,3,0,3,0.21,29.68,12968167.00,9118142.00
20171113,3,3,3,0.38,30.17,13017386.00,9153566.00
20171114,2,2,3,0.37,30.66,13066191.00,9300031.00
20171115,3,3,3,-0.61,29.86,12986101.00,9205651.00
20171116,3,2,4,1.36,31.62,13162349.00,7949145.00
20171117,1,4,1,0.20,31.88,13188168.00,11978168.00
20171120,4,1,4,0.28,32.25,13224717.00,8058916.00
20171121,4,3,5,-0.13,32.08,13207585.00,6806579.00
20171122,4,4,5,-0.46,31.47,13146959.00,6797822.00
20171123,4,4,5,2.93,35.32,13532152.00,6902232.00
20171124,3,5,3,2.27,38.39,13839132.00,9517144.00
20171127,4,2,5,0.96,39.72,13972401.00,7188001.00
20171128,5,4,6,0.40,40.28,14027986.00,5955496.00
20171129,2,5,3,1.36,42.19,14219285.00,9978165.00
20171130,1,3,1,-0.03,42.15,14214751.00,12859551.00
20171201,6,1,6,0.05,42.22,14222145.00,5840962.00
20171204,0,6,0,0.71,43.24,14323664.00,14323664.00
20171205,5,0,5,0.46,43.89,14389420.00,7301292.00
20171206,5,5,5,0.10,44.03,14403243.00,7348019.00
20171207,4,3,6,-1.28,42.19,14218782.00,6039078.00
20171208,1,6,1,0.41,42.77,14277075.00,12923475.00
20171211,5,0,6,1.68,45.16,14516485.00,5985305.00
20171212,1,6,1,-0.18,44.90,14490042.00,13064517.00
20171213,2,1,2,0.17,45.15,14515103.00,11635093.00
20171214,2,2,2,0.34,45.65,14564829.00,11698929.00
20171215,5,1,6,0.91,46.97,14697499.00,5959049.00
20171218,2,6,2,0.02,47.01,14701032.00,11826742.00
20171219,3,1,4,0.12,47.19,14718544.00,8932419.00
20171220,3,4,3,-1.69,44.70,14469644.00,10357809.00
20171221,7,2,8,-2.46,41.13,14113139.00,3074204.00
20171222,2,8,2,2.77,45.04,14503879.00,11701171.00
20171226,4,2,4,-1.31,43.14,14313622.00,8788716.00
20171227,2,4,2,1.94,45.92,14591948.00,11666498.00
20171228,0,2,0,0.17,46.17,14616597.00,14616597.00
20180102,1,0,1,0.54,46.95,14695054.00,13171583.00
20180103,1,1,1,0.19,47.22,14722445.00,13258795.00
20180104,2,1,2,-0.12,47.05,14704750.00,11866692.00
20180105,1,2,1,0.66,48.02,14801783.00,13310883.00
20180108,0,1,0,-0.03,47.97,14796870.00,14796870.00
20180109,3,0,3,-0.73,46.89,14688530.00,10495030.00
20180110,6,1,8,0.47,47.58,14758203.00,3235418.00
20180111,2,5,5,-2.40,44.05,14404670.00,7645275.00
20180112,5,4,6,4.42,50.41,15040744.00,5853704.00
20180115,3,6,3,1.39,52.50,15249906.00,10591156.00
20180116,2,3,2,0.35,53.03,15303175.00,12335605.00
20180117,5,1,6,0.06,53.12,15311930.00,6363535.00
20180118,2,6,2,0.75,54.27,15427048.00,12392028.00
20180119,3,2,3,0.16,54.52,15452384.00,10873978.00
20180122,7,2,8,0.86,55.86,15585750.00,3421807.00
20180123,1,8,1,0.78,57.07,15706973.00,14098093.00
20180124,4,1,4,0.04,57.13,15713393.00,9497293.00
20180125,3,3,4,-0.11,56.96,15696202.00,9525342.00
20180126,1,3,2,0.37,57.55,15754962.00,12628582.00
20180129,2,2,2,0.19,57.85,15785095.00,12666895.00
20180130,6,2,6,0.20,58.17,15817221.00,6879573.00
20180131,3,4,5,-0.17,57.91,15790667.00,8027503.00
20180201,3,5,3,0.31,58.40,15840319.00,11244803.00
20180202,7,1,9,3.13,63.36,16335524.00,2398270.00
20180205,1,7,3,-2.43,59.39,15938580.00,11857110.00
20180206,7,2,8,1.30,61.46,16146250.00,3653950.00
20180207,0,8,0,1.88,64.50,16449856.00,16449856.00
20180208,2,0,2,0.50,65.32,16531611.00,13203751.00
20180209,0,1,1,-0.53,64.44,16444421.00,14882821.00
20180212,1,1,1,0.22,64.81,16480711.00,14832801.00
20180213,4,1,4,-0.61,63.80,16380257.00,9961537.00
20180214,2,1,5,-0.26,63.38,16337966.00,8441845.00
20180219,1,5,1,1.23,65.40,16539717.00,14827552.00
20180220,3,1,3,-0.36,64.80,16480227.00,11647692.00
20180221,1,2,2,0.16,65.07,16507143.00,13295131.00
20180222,2,2,2,0.57,66.01,16601083.00,13250078.00
20180223,3,1,4,-1.07,64.23,16422929.00,10097392.00
20180226,3,2,5,-0.82,62.89,16288948.00,8411928.00
20180227,4,3,6,-0.09,62.75,16274677.00,6815845.00
20180228,3,5,4,1.59,65.33,16533324.00,10073922.00
20180302,5,4,5,1.02,67.01,16701269.00,8441125.00
20180305,1,4,2,0.14,67.25,16725449.00,13455053.00
20180306,3,1,4,0.15,67.51,16750879.00,10521459.00
20180307,1,4,1,0.15,67.75,16775469.00,15118869.00
20180308,3,1,3,0.02,67.79,16778738.00,11827161.00
20180309,1,3,2,1.00,69.47,16946784.00,13690582.00
20180312,0,2,0,0.06,69.57,16957023.00,16957023.00
20180313,1,0,1,0.23,69.96,16995523.00,15278423.00
20180314,5,1,5,0.87,71.44,17144130.00,8665580.00
20180315,5,5,5,0.21,71.80,17180128.00,8784598.00
20180316,1,4,2,1.10,73.69,17369027.00,13912682.00
20180319,2,2,2,-0.17,73.40,17339915.00,13940455.00
20180320,4,1,5,1.97,76.82,17681552.00,8917137.00
20180321,1,5,1,0.43,77.58,17758436.00,15940136.00
20180322,3,1,3,-0.67,76.40,17639522.00,12495152.00
20180323,7,1,9,-1.08,74.50,17449609.00,2400812.00
20180326,1,8,2,2.69,79.19,17919410.00,14455192.00
20180327,0,2,0,0.55,80.19,18018656.00,18018656.00
20180328,2,0,2,-0.63,79.05,17905256.00,14540606.00
20180329,4,1,5,0.90,80.66,18065916.00,9205976.00
20180330,2,5,3,0.70,81.92,18192217.00,12890417.00
20180402,3,2,4,0.53,82.88,18287919.00,11039329.00
20180403,5,4,5,0.75,84.25,18424957.00,9299017.00
20180404,0,5,0,1.08,86.24,18624256.00,18624256.00
20180405,3,0,3,0.05,86.34,18634156.00,13117056.00
20180406,4,2,5,0.01,86.35,18635120.00,9529092.00
20180409,1,5,1,0.32,86.95,18694881.00,16940532.00
20180410,3,1,3,1.03,88.88,18887987.00,13168562.00
20180411,1,3,1,0.07,89.02,18901962.00,17036162.00
20180412,7,1,7,-1.19,86.77,18677448.00,5850493.00
20180413,2,7,2,1.00,88.65,18864608.00,15109914.00
20180416,1,2,1,0.50,89.59,18959142.00,16995662.00
20180417,1,1,1,0.41,90.37,19037430.00,17072830.00
20180418,2,1,2,0.47,91.26,19125966.00,15273252.00
20180419,7,0,9,-2.08,87.28,18728471.00,2105134.00
20180420,0,8,1,0.16,87.58,18757739.00,17031589.00
20180423,7,1,7,2.24,91.77,19177473.00,5969343.00
20180424,1,7,1,0.23,92.21,19220979.00,17449419.00
20180425,7,0,8,-1.14,90.01,19000924.00,4215684.00
20180426,1,6,3,0.36,90.70,19069654.00,13658804.00
20180427,5,3,5,1.11,92.82,19281871.00,9722591.00
20180430,0,5,0,1.37,95.45,19545141.00,19545141.00
20180502,3,0,3,0.64,96.69,19669479.00,14129375.00
20180503,1,3,1,-0.01,96.68,19667757.00,17773590.00
20180504,4,1,4,0.19,97.05,19704665.00,11942165.00
20180508,0,3,1,-0.53,95.99,19599483.00,17720823.00
20180509,9,1,9,3.43,102.72,20272041.00,2258821.00
20180510,1,9,1,3.60,110.01,21000868.00,18860628.00
20180511,1,1,1,0.57,111.20,21119845.00,18995445.00
20180514,1,1,1,0.15,111.52,21152010.00,19136810.00
20180515,1,0,2,-0.12,111.26,21126050.00,17072510.00
20180516,2,1,3,-0.13,110.99,21098722.00,15243652.00
20180517,0,3,0,0.14,111.29,21128776.00,21128776.00
20180518,2,0,2,1.43,114.31,21430821.00,16952651.00
20180521,0,2,0,0.02,114.35,21434531.00,21434531.00
20180523,0,0,0,0.00,114.35,21434531.00,21434531.00
20180524,4,0,4,-1.26,111.64,21163556.00,13007861.00
20180525,5,1,8,0.76,113.25,21324989.00,6046129.00
20180528,0,8,0,7.74,129.76,22976212.00,22976212.00
20180529,0,0,0,0.00,129.76,22976212.00,22976212.00
20180530,4,0,4,0.01,129.80,22979617.00,13906206.00
20180531,2,4,2,0.35,130.60,23059655.00,18558745.00
20180601,7,1,8,-0.24,130.04,23003976.00,5069996.00
20180604,2,7,3,-0.07,129.88,22988425.00,16457740.00
20180605,7,1,9,0.58,131.21,23120793.00,2981028.00
20180607,1,6,4,-0.50,130.05,23005446.00,14242356.00
20180608,6,3,7,-0.51,128.87,22887430.00,8420825.00
20180611,3,5,5,2.15,133.79,23378524.00,11951208.00
20180612,2,5,2,1.00,136.13,23613147.00,19137757.00
20180614,5,2,5,-1.64,132.26,23225868.00,12288418.00
20180615,1,5,1,2.43,137.89,23789487.00,21054137.00
20180618,2,1,2,-0.14,137.55,23755477.00,19137892.00
20180619,1,2,1,-0.24,136.99,23698869.00,21500469.00
20180620,4,1,4,0.50,138.17,23817312.00,14400972.00
20180621,0,4,0,0.51,139.38,23937720.00,23937720.00
20180622,7,0,7,-4.76,127.98,22798285.00,7425975.00
20180625,3,2,8,-5.51,115.43,21542976.00,4721904.00
20180626,1,7,2,-1.07,113.12,21312022.00,17130952.00
20180627,7,2,7,-1.54,109.84,20984192.00,6737341.00
20180628,3,0,10,-3.34,102.84,20284192.00,526141.00
20180629,0,7,3,1.40,105.69,20568544.00,14603954.00
20180702,1,3,1,-0.74,104.17,20416539.00,18479159.00
20180703,2,1,2,0.76,105.72,20572287.00,16487617.00
20180704,2,2,2,1.10,107.99,20798686.00,16550256.00
20180705,4,1,5,-0.41,107.13,20712838.00,10575047.00
20180706,2,3,4,-0.23,106.66,20665505.00,12696161.00
20180709,4,4,5,0.92,108.57,20856649.00,12576909.00
20180710,2,5,2,2.24,113.25,21324621.00,17062848.00
20180711,2,1,3,-1.16,110.77,21076635.00,15017175.00
20180712,5,2,6,1.08,113.04,21303907.00,8802694.00
20180713,2,5,3,-0.84,111.24,21123955.00,15048755.00
20180716,0,3,0,0.51,112.31,21230934.00,21230934.00
20180717,3,0,3,1.28,115.04,21503644.00,14960254.00
20180718,4,3,4,-0.41,114.15,21414734.00,13046866.00
20180719,4,1,7,-2.02,109.82,20981733.00,6747039.00
20180720,1,4,4,-0.82,108.09,20809022.00,12953928.00
20180723,4,4,4,-1.06,105.88,20588432.00,12816532.00
20180724,3,3,4,1.17,108.29,20828841.00,12806151.00
